path	book	asset_dir	page	track	confidence	reason	alt	tex_refs	width	height	bytes	white	black	status
books/assets/algebra-1/fig-p0014-01.png	代数（第一册）	algebra-1	14	V	low	初分待对照 raw 改轨	图1-1	tex/books/代数（第一册）.tex:630	85	467	2032	0.812	0.188	pending
books/assets/algebra-1/fig-p0017-01.png	代数（第一册）	algebra-1	17	T	high	对照 raw 第17页有理数分类，已改 TikZ	原PDF第17页运算示意	tex/books/代数（第一册）.tex:726	437	155	2008	0.930	0.070	replaced
books/assets/algebra-1/fig-p0017-02.png	代数（第一册）	algebra-1	17	T	high	对照 raw 第17页有理数分类，已改 TikZ	原PDF第17页运算示意	tex/books/代数（第一册）.tex:747	366	154	1586	0.927	0.073	replaced
books/assets/algebra-1/fig-p0018-01.png	代数（第一册）	algebra-1	18	T	high	对照 raw 第18页图1-3数轴，已改 TikZ	图1-3	tex/books/代数（第一册）.tex:800	474	107	1065	0.939	0.061	replaced
books/assets/algebra-1/fig-p0020-01.png	代数（第一册）	algebra-1	20	T	high	对照 raw 第20页图1-4数轴，已改 TikZ	图1-4	tex/books/代数（第一册）.tex:868	458	86	728	0.943	0.057	replaced
books/assets/algebra-1/fig-p0022-01.png	代数（第一册）	algebra-1	22	T	high	对照 raw 第22页图1-5路程，已改 TikZ	图1-5	tex/books/代数（第一册）.tex:997	488	63	652	0.919	0.081	replaced
books/assets/algebra-1/fig-p0023-01.png	代数（第一册）	algebra-1	23	T	high	对照 raw 第23页图1-6数轴，已改 TikZ	图1-6	tex/books/代数（第一册）.tex:1015	449	74	418	0.956	0.044	replaced
books/assets/algebra-1/fig-p0025-01.png	代数（第一册）	algebra-1	25	V	low	初分待对照 raw 改轨	图1.7	tex/books/代数（第一册）.tex:1117	83	473	2038	0.794	0.206	pending
books/assets/algebra-1/fig-p0025-02.png	代数（第一册）	algebra-1	25	T	high	对照 raw 第25页图1-8数轴，已改 TikZ	图1-8	tex/books/代数（第一册）.tex:1149	515	72	815	0.921	0.079	replaced
books/assets/algebra-1/fig-p0028-01.png	代数（第一册）	algebra-1	28	T	high	对照 raw 第28页图1.9路程，已改 TikZ	图1.9	tex/books/代数（第一册）.tex:1339	517	75	789	0.938	0.062	replaced
books/assets/algebra-1/fig-p0028-02.png	代数（第一册）	algebra-1	28	T	high	对照 raw 第28页路程或数轴，已改 TikZ	图1-10	tex/books/代数（第一册）.tex:1364	514	64	796	0.904	0.096	replaced
books/assets/algebra-1/fig-p0029-01.png	代数（第一册）	algebra-1	29	T	high	对照 raw 第29页路程或数轴，已改 TikZ	图1-11	tex/books/代数（第一册）.tex:1400	500	83	911	0.931	0.069	replaced
books/assets/algebra-1/fig-p0029-02.png	代数（第一册）	algebra-1	29	T	high	对照 raw 第29页路程或数轴，已改 TikZ	图1·12	tex/books/代数（第一册）.tex:1434	539	88	991	0.927	0.073	replaced
books/assets/algebra-1/fig-p0034-01.png	代数（第一册）	algebra-1	34	T	high	对照 raw 第34页路程或数轴，已改 TikZ	图1-13	tex/books/代数（第一册）.tex:1693	527	77	970	0.921	0.079	replaced
books/assets/algebra-1/fig-p0034-02.png	代数（第一册）	algebra-1	34	T	high	对照 raw 第34页路程或数轴，已改 TikZ	图1-14	tex/books/代数（第一册）.tex:1709	554	78	977	0.924	0.076	replaced
books/assets/algebra-1/fig-p0047-01.png	代数（第一册）	algebra-1	47	T	high	对照 raw 第47页路程或数轴，已改 TikZ	图1-15	tex/books/代数（第一册）.tex:2381	567	85	1123	0.928	0.072	replaced
books/assets/algebra-1/fig-p0047-02.png	代数（第一册）	algebra-1	47	T	high	对照 raw 第47页路程或数轴，已改 TikZ	图1-16	tex/books/代数（第一册）.tex:2414	566	82	1198	0.911	0.089	replaced
books/assets/algebra-1/fig-p0048-01.png	代数（第一册）	algebra-1	48	T	high	对照 raw 第48页路程或数轴，已改 TikZ	图1-17	tex/books/代数（第一册）.tex:2447	562	84	1161	0.919	0.081	replaced
books/assets/algebra-1/fig-p0048-02.png	代数（第一册）	algebra-1	48	T	high	对照 raw 第48页线图，已改 TikZ	图1-18	tex/books/代数（第一册）.tex:2479	572	81	1256	0.905	0.095	replaced
books/assets/algebra-1/fig-p0061-01.png	代数（第一册）	algebra-1	61	T	high	对照 raw 第61页线图，已改 TikZ	图1-19	tex/books/代数（第一册）.tex:3201	183	181	587	0.932	0.068	replaced
books/assets/algebra-1/fig-p0061-02.png	代数（第一册）	algebra-1	61	T	high	对照 raw 第61页线图，已改 TikZ	图1-20	tex/books/代数（第一册）.tex:3213	230	228	1255	0.923	0.077	replaced
books/assets/algebra-1/fig-p0078-01.png	代数（第一册）	algebra-1	78	T	high	对照 raw 第78页线图，已改 TikZ	(第3题)	tex/books/代数（第一册）.tex:4408	252	152	966	0.954	0.046	replaced
books/assets/algebra-1/fig-p0078-02.png	代数（第一册）	algebra-1	78	T	high	对照 raw 第78页线图，已改 TikZ	(第4题)	tex/books/代数（第一册）.tex:4420	278	147	825	0.948	0.052	replaced
books/assets/algebra-1/fig-p0079-01.png	代数（第一册）	algebra-1	79	T	high	对照 raw 第79页线图，已改 TikZ	(第5题)	tex/books/代数（第一册）.tex:4445	178	191	926	0.953	0.047	replaced
books/assets/algebra-1/fig-p0086-01.png	代数（第一册）	algebra-1	86	T	high	对照 raw 第86页题图，已改 TikZ	(第9题)	tex/books/代数（第一册）.tex:4950	292	170	1018	0.955	0.045	replaced
books/assets/algebra-1/fig-p0086-02.png	代数（第一册）	algebra-1	86	T	high	对照 raw 第86页题图，已改 TikZ	(第10题)	tex/books/代数（第一册）.tex:4962	241	189	1148	0.925	0.075	replaced
books/assets/algebra-1/fig-p0150-01.png	代数（第一册）	algebra-1	150	T	high	对照 raw 页运算示意，已改 TikZ	原PDF第150页运算示意	tex/books/代数（第一册）.tex:9035	94	104	429	0.962	0.038	replaced
books/assets/algebra-1/fig-p0150-02.png	代数（第一册）	algebra-1	150	T	high	对照 raw 页运算示意，已改 TikZ	原PDF第150页运算示意	tex/books/代数（第一册）.tex:9083	239	354	1931	0.966	0.034	replaced
books/assets/algebra-1/fig-p0196-01.png	代数（第一册）	algebra-1	196	T	high	对照 raw/PNG，已改 TikZ	原PDF第196页运算示意	tex/books/代数（第一册）.tex:11858	78	92	351	0.960	0.040	replaced
books/assets/algebra-1/fig-p0196-02.png	代数（第一册）	algebra-1	196	T	high	对照 raw/PNG，已改 TikZ	原PDF第196页运算示意	tex/books/代数（第一册）.tex:11864	77	91	358	0.956	0.044	replaced
books/assets/algebra-1/fig-p0197-01.png	代数（第一册）	algebra-1	197	T	high	对照 raw/PNG，已改 TikZ	原PDF第197页运算示意	tex/books/代数（第一册）.tex:11885	105	103	425	0.963	0.037	replaced
books/assets/algebra-1/fig-p0197-02.png	代数（第一册）	algebra-1	197	T	high	对照 raw/PNG，已改 TikZ	原PDF第197页运算示意	tex/books/代数（第一册）.tex:11891	94	101	440	0.957	0.043	replaced
books/assets/algebra-1/fig-p0198-01.png	代数（第一册）	algebra-1	198	T	high	对照 raw/PNG，已改 TikZ	原PDF第198页运算示意	tex/books/代数（第一册）.tex:11990	94	105	406	0.954	0.046	replaced
books/assets/algebra-1/fig-p0198-02.png	代数（第一册）	algebra-1	198	T	high	对照 raw/PNG，已改 TikZ	原PDF第198页运算示意	tex/books/代数（第一册）.tex:11996	90	104	405	0.958	0.042	replaced
books/assets/algebra-1/fig-p0198-03.png	代数（第一册）	algebra-1	198	T	high	对照 raw/PNG，已改 TikZ	原PDF第198页运算示意	tex/books/代数（第一册）.tex:12002	92	104	441	0.954	0.046	replaced
books/assets/algebra-1/fig-p0198-04.png	代数（第一册）	algebra-1	198	T	high	对照 raw/PNG，已改 TikZ	原PDF第198页运算示意	tex/books/代数（第一册）.tex:12008	92	104	436	0.954	0.046	replaced
books/assets/algebra-1/fig-p0199-02.png	代数（第一册）	algebra-1	199	T	high	对照 raw/PNG，已改 TikZ	原PDF第199页运算示意	tex/books/代数（第一册）.tex:12125	87	105	447	0.952	0.048	replaced
books/assets/algebra-1/fig-p0200-01.png	代数（第一册）	algebra-1	200	T	high	对照 raw/PNG，已改 TikZ	原PDF第200页运算示意	tex/books/代数（第一册）.tex:12151	96	102	407	0.960	0.040	replaced
books/assets/algebra-1/fig-p0200-02.png	代数（第一册）	algebra-1	200	T	high	对照 raw/PNG，已改 TikZ	原PDF第200页运算示意	tex/books/代数（第一册）.tex:12163	95	104	454	0.953	0.047	replaced
books/assets/algebra-1/fig-p0200-03.png	代数（第一册）	algebra-1	200	T	high	对照 raw/PNG，已改 TikZ	原PDF第200页运算示意	tex/books/代数（第一册）.tex:12186	441	104	1243	0.965	0.035	replaced
books/assets/algebra-1/fig-p0201-01.png	代数（第一册）	algebra-1	201	T	high	对照 raw/PNG，已改 TikZ	原PDF第201页运算示意	tex/books/代数（第一册）.tex:12210	496	104	1487	0.964	0.036	replaced
books/assets/algebra-1/fig-p0202-01.png	代数（第一册）	algebra-1	202	T	high	对照 raw/PNG，已改 TikZ	原PDF第202页运算示意	tex/books/代数（第一册）.tex:12271	410	107	972	0.967	0.033	replaced
books/assets/algebra-1/fig-p0202-02.png	代数（第一册）	algebra-1	202	T	high	对照 raw/PNG，已改 TikZ	原PDF第202页运算示意	tex/books/代数（第一册）.tex:12283	357	107	885	0.967	0.033	replaced
books/assets/algebra-1/fig-p0202-03.png	代数（第一册）	algebra-1	202	T	high	对照 raw/PNG，已改 TikZ	原PDF第202页运算示意	tex/books/代数（第一册）.tex:12295	138	106	522	0.963	0.037	replaced
books/assets/algebra-1/fig-p0271-01.png	代数（第一册）	algebra-1	271	T	high	对照 raw 页运算示意，已改 TikZ	原PDF第271页运算示意	tex/books/代数（第一册）.tex:15727	199	214	1722	0.917	0.083	replaced
books/assets/algebra-1/fig-p0275-01.png	代数（第一册）	algebra-1	275	T	high	对照 raw 页运算示意，已改 TikZ	原PDF第275页运算示意	tex/books/代数（第一册）.tex:15881	301	237	1902	0.949	0.051	replaced
books/assets/algebra-2/fig-p0033-01.png	代数（第二册）	algebra-2	33	T	high	对照 raw 第33页，已改 TikZ	图1.1	tex/books/代数（第二册）.tex:1766	403	91	975	0.928	0.072	replaced
