id	册	章	raw页	tex行	类型	严重度	描述	状态	证据	commit
PUNCT-1	全局			preamble	间隔号	高	U+00B7 被 xeCJK 当全角 CL，§1·1 排成 §1 · 1	已修	algebra-1 TOC/节标题已紧排；17 分册已重编	-
OVER-1	代数（第四册）			15470	溢出	270.7pt	Overfull ≥10pt（270.74pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-2	代数（第二册）			8577	溢出	252.1pt	Overfull ≥10pt（252.14pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-3	化学（第一册）			11512	溢出	216.4pt	Overfull ≥10pt（216.40pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-4	化学（第一册）			11516	溢出	216.4pt	Overfull ≥10pt（216.40pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-5	化学（第一册）			11518	溢出	216.4pt	Overfull ≥10pt（216.40pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-6	代数（第三册）			12281	溢出	190.8pt	Overfull ≥10pt（190.76pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-7	化学（第二册）			5782	溢出	172.0pt	Overfull ≥10pt（172.03pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-8	化学（第二册）			10719	溢出	163.8pt	Overfull ≥10pt（163.81pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-9	化学（第二册）			10723	溢出	163.8pt	Overfull ≥10pt（163.81pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-10	化学（第二册）			10725	溢出	163.8pt	Overfull ≥10pt（163.81pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-11	代数（第二册）			21612	溢出	144.6pt	Overfull ≥10pt（144.62pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-12	化学（第四册）			7799	溢出	138.3pt	Overfull ≥10pt（138.28pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-13	代数（第四册）			17204	溢出	127.7pt	Overfull ≥10pt（127.67pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-14	代数（第二册）			18988	溢出	112.9pt	Overfull ≥10pt（112.91pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-15	物理（第三册）			27719	溢出	101.3pt	Overfull ≥10pt（101.34pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-16	代数（第四册）			17999	溢出	101.2pt	Overfull ≥10pt（101.20pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-17	平面几何（第一册）			30139	溢出	97.4pt	Overfull ≥10pt（97.39pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-18	化学（第一册）			10206	溢出	89.4pt	Overfull ≥10pt（89.42pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-19	化学（第一册）			10210	溢出	89.4pt	Overfull ≥10pt（89.42pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-20	化学（第一册）			10212	溢出	89.4pt	Overfull ≥10pt（89.42pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-21	化学（第四册）			3517	溢出	86.5pt	Overfull ≥10pt（86.45pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-22	化学（第四册）			3521	溢出	86.5pt	Overfull ≥10pt（86.45pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-23	化学（第四册）			3523	溢出	86.5pt	Overfull ≥10pt（86.45pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-24	代数（第二册）			21541	溢出	77.2pt	Overfull ≥10pt（77.21pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-25	化学（第二册）			7516	溢出	76.7pt	Overfull ≥10pt（76.70pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-26	物理（第三册）			15434	溢出	73.8pt	Overfull ≥10pt（73.84pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-27	代数（第二册）			21545	溢出	73.1pt	Overfull ≥10pt（73.11pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-28	平面解析几何			18824	溢出	72.6pt	Overfull ≥10pt（72.61pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-29	化学（第四册）			2670	溢出	69.3pt	Overfull ≥10pt（69.34pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-30	平面解析几何			3209	溢出	69.2pt	Overfull ≥10pt（69.22pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-31	化学（第二册）			9379	溢出	63.1pt	Overfull ≥10pt（63.06pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-32	化学（第二册）			9381	溢出	62.6pt	Overfull ≥10pt（62.55pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-33	化学（第四册）			2658	溢出	58.0pt	Overfull ≥10pt（58.01pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-34	化学（第四册）			2664	溢出	58.0pt	Overfull ≥10pt（58.01pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-35	化学（第四册）			3306	溢出	57.1pt	Overfull ≥10pt（57.15pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-36	代数（第二册）			21768	溢出	53.5pt	Overfull ≥10pt（53.55pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-37	代数（第四册）			13257	溢出	53.0pt	Overfull ≥10pt（53.04pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-38	化学（第四册）			11545	溢出	51.8pt	Overfull ≥10pt（51.79pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-39	化学（第一册）			11880	溢出	51.0pt	Overfull ≥10pt（50.97pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-40	化学（第一册）			11884	溢出	51.0pt	Overfull ≥10pt（50.97pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-41	化学（第一册）			11886	溢出	51.0pt	Overfull ≥10pt（50.97pt）	已修	本轮重编日志 ≥10pt 消失	-
OVER-42	代数（第二册）			21681	溢出	51.0pt	Overfull ≥10pt（50.96pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-43	化学（第四册）			8510	溢出	50.9pt	Overfull ≥10pt（50.87pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
OVER-44	物理（第二册）			22785	溢出	50.4pt	Overfull ≥10pt（50.41pt）	已修	分册重编后 Overfull hbox ≥10pt 消失（合订本日志仍陈旧）	-
